12, 13, 08, 09, 04, 05, 00, 01
14, 15, 10, 11, 06, 07, 02, 03
28, 29, 24, 25, 20, 21, 16, 17
30, 31, 26, 27, 22, 23, 18, 19
45, 44, 40, 41, 36, 37, 32, 33
47, 46, 42, 43, 38, 39, 34, 35
60, 61, 56, 57, 52, 53, 48, 49
62, 63, 58, 59, 54, 55, 50, 51
